Date of submission,AISHE ID,Institution Track ID,Application For,Cycle of Accreditation,Name of the College,Date of establishment of the Institution,Name of the Head of the Institution,Designation,Does the college function from Own Campus,Address of the College,State/UT,District,City,Pin,Phone No,Fax No,Mobile No,Registered Email,Alternate Email,Alternate Faculty Contact Details,Address,State/UT_1,Pin_1,Phone No_1,Fax No_1,Mobile No_1,Email,Alternate Email_1,Website,"Has the Institution completed 6 years of existence /
Years of graduation of last two batches",Nature of the college,College Affiliation,"Is the Institution recognized under section 2(f) of the
UGC Act?","Is the Institution recognized under section 12B of the
UGC Act?
If yes, date of recognition by UGC under section
12B along with latest Plan General Development
Grant release letter","Is the institution recognised as an Autonomous
College by the UGC?","Is the institution recognised as a ‘College with
Potential for Excellence (CPE)’ by the UGC?","Is the institution recognised as a ‘College of
Excellence’ by the UGC?","Is the College offering any programmes recognised
by any Statutory Regulatory Authority (SRA)",State,University Name,Male,Female,Transgender,Total,Date of establishment of IQAC,Date of uploading data on MHRD website for AISHE,Name of the University,Does the University function from Own Campus,Address of the University,Alternate Phone No,City_1,Alternate Phone No_1,Nature of the University,Type of University,"If the University is not under the purview of UGC
indicate the parent Ministry / Authority under which it
was established(attach proof)","Is the institution recognised as a ‘University with
Potential for Excellence (CPE)’ by the UGC?","Is the University offering any programmes recognised
by any Statutory Regulatory Authority (SRA)","Whether the Institution is registered in the National
Academic Depository (NAD) system",Old Name of the Institution,,Ol Name of University
15/04/2021,C-33892,MHCOGN11011,Accreditation,Cycle3 Cycle Date Grade Score 1 16/02/2004 B 72.40 2 28/03/2010 B 2.59 3 04/01/2022 B++ 2.78,VIVEK COLLEGE OF COMMERCE,01/01/1986,Dr. VIJETHA S. SHETTY,Principal,Yes,"Vivek College Road, Siddharth Nagar,Goregaon west",MAHARASHTRA,MUMBAI SUBURBAN,MUMBAI,400104,022-28744058,-,9821871849,principal@vivek-college.org,drvijethashetty1@gmail.com,Mr. SHRIKANT MARATHE IQAC / CIQA coordinator,,MAHARASHTRA,400104,022-,-,9820822897,maratheshrikant@yahoo.com,vivek_college@hotmail.com,https://www.vivek-college.org/,"Yes
Year1- 2019 Year2- 2020",Grant-in-aid and Self Financing,"Affiliated
(Affiliated PG & Above college)","Yes
31/03/2006
View Document","Yes
31/03/2006
View Document",No,No,No,No,Maharashtra,University of Mumbai,1267,1509,0,2776,01/08/2010,08/01/2019 ,,,,,MUMBAI,,,,,,,,,,
02/08/2019,C-45222,MHCOGN104706,Accreditation,Cycle1,METROPOLITAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT,01/06/2011,Dr. S. L. BHOLE,Principal,Yes,"At Post Sukalwad, Near Sindhudurg Railway Station, Tal. Malvan, Dist. Sindhudurg",MAHARASHTRA,,AT POST SUKALWAD NEAR SINDHUDURG RAILWAY STATION,416534,02362-228550,02362-228551,9987762946,nawlesc@gmail.com,jbfmumbai@gmail.com,Prof. S. C. NAWLE IQAC / CIQA coordinator,"At Post Sukalwad, Near Sindhudurg Railway Station, Tal. Malvan, Dist. Sindhudurg",MAHARASHTRA,416534,02362-228552,02362-228553,7977803587,nawlesc@yahoo.com,prapti.pednekar@gmail.com,www.mitm.ac.in,"Yes
Year1- 2017 Year2- 2018",Private and Self Financing,"Affiliated
(Affiliated UG College)",No,No,No,No,No,Yes,Maharashtra,University of Mumbai,342,76,0,418,04/03/2019,04/01/2019 ,,,,,"AT POST SUKALWAD NEAR SINDHUDURG RAILWAY
STATION",,,,,,,,,,
18/12/2020,C-15731,MHCOGN11474,Accreditation,Cycle3 Cycle Date Grade Score 1 16/09/2004 B+ 76.25 2 10/03/2012 B 2.4 3 05/10/2021 B++ 2.78,SHANKARRAO MOHITE MAHAVIDYALAYA,25/07/1967,Dr. ABASAHEB LIMBNATHRAO DESHMUKH,Principal,Yes,"A/P- Akluj, Taluka- Malshiras, District- Solapur. Pin 413101",MAHARASHTRA,SOLAPUR,AKLUJ,413101,02185-222088,02185-,9421069569,smmakj@yahoo.com,iqac@smmakluj.ac.in,Dr. HANUMANT KRISHNA AWATADE IQAC / CIQA coordinator,,MAHARASHTRA,413306,02185-222169,02185-223366,9922790120,hkawatade@gmail.com,iqacsmm@gmail.com,http://smmakluj.ac.in,"Yes
Year1- 2017 Year2- 2018",Grant-in-aid and Self Financing,"Affiliated
(Affiliated PG & Above college)","Yes
15/02/2011
View Document","Yes
02/08/2019
View Document",No,No,No,No,Maharashtra,Solapur University,1245,952,0,2197,02/11/2004,06/01/2020 ,,,,,AKLUJ,,,,,,,,,,
10/04/2024,C-6635,GJCOGN12979,Accreditation,Cycle3 Cycle Date Grade Score 1 10/02/2007 B+ 76.00 2 16/09/2016 B++ 2.79 3 16/01/2025 A 3.02,SIR P. T. SCIENCE COLLEGE,01/01/1960,Dr. K P PATEL,Principal,Yes,Sir P T Science College Dhansura Road College Campus Modasa District Aravalli,GUJARAT,ARAVALLI,MODASA,383315,02774-246410,02774-246410,9408064680,sirptscience127@gmail.com,dr_kppatel_165@yahoo.com,Dr. G L VEKARIA IQAC / CIQA coordinator,,GUJARAT,383315,02774-245485,02774-245485,9428063766,glv2008@yahoo.com,glvsptsc@gmail.com,www.sirptsciencecollege.org,"Yes
Year1- 2023 Year2- 2024",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
02/04/1988
View Document","Yes
02/04/1988
View Document",No,No,No,No,Gujarat,"Hemchandracharya North
Gujarat University",324,381,0,705,31/03/2007,20/02/2024 ,,,,,MODASA,,,,,,,,,,
06/12/2017,C-42090,MHCOGN027391,Accreditation,Cycle1,"SAHYADRI SHIKSHAN MANDAL'S MAHANT JAMANADAS MAHARAJ ARTS, COMMERCE AND SCIENCE COLLEGE, AT POST.- KARANJALI, TAL.- PETH, DIST.- NASHIK",11/07/2009,Dr.R.Y.BORSE,Principal,Yes,"Mahant Jamanadas Maharaj Arts,Commerce and Science College Karanjali, Tal.- Peth, Dist.-Nashik",MAHARASHTRA,,KARANJALI,422208,02558-234666,02558-234665,9423550299,msshinde123321@gmail.com,ratanborse@yahoo.co.in,Dr.M.S.SHINDE IQAC / CIQA coordinator,"Mahant Jamanadas Maharaj Arts,Commerce and Science College Karanjali, Tal.- Peth, Dist.- Nashik (M.S.)",MAHARASHTRA,,02558-234669,02558-234668,9422991364,mahen3569@rediffmail.com,mjmcollege1@yahoo.com,www.mjmcollege.com,"Yes
Year1- 2016 Year2- 2017",Grant-in-aid and Self Financing,"Affiliated
(Affiliated UG College)",No,No,No,No,No,No,Maharashtra,"Savitribai Phule Pune
University",477,165,,642,27/07/2015,31/12/2016 ,,,,,KARANJALI,,,,,,,,,,
30/12/2020,C-11189,MHCOGN11713,Accreditation,Cycle3 Cycle Date Grade Score 1 16/09/2004 C+ 60.50 2 05/01/2013 B 2.22 3 22/02/2022 B 2.5,DADASAHEB JOTIRAM GODSE ARTS COMMERCE SCIENCE COLLEGE VADUJ,01/01/1995,Dr. DHUMAL KSHITIJ YADAVRAO,Principal(in-charge),Yes,"Vaduj, Tal. Khatav, Dist. Satara",MAHARASHTRA,SATARA,VADUJ SATARA,415506,02161-231315,02161-231314,9822425843,prindrsbpatil0557@gmail.com,artscomcollegevaduj@gmail.com,,"Dept. of English, Dadasaheb Jotiram
Godse Arts, Commerce, Science
College,Vaduj, Tal. Khatav, Dist. Satara",MAHARASHTRA,415506,02161-2313151,02161-23131512,9850309268,shivkumaragrawal111@gmail.com,iqacdjgacsvaduj@gmail.com,djgacscvaduj.org,"Yes
Year1- 2019 Year2- 2020",Grant-in-aid and Self Financing,"Affiliated
(Affiliated UG College)","Yes
09/02/2007
View Document","Yes
09/02/2007
View Document",No,No,No,No,Maharashtra,Shivaji University,354,590,0,944,01/10/2004,23/01/2020 ,,,,,VADUJ SATARA,,,,,,,,ARTS AND COMMERCE COLLEGE VADUJ View Document,,
29/06/2024,C-34204,MHCOGN110913,Accreditation,Cycle1,PEOPLE'S EDUCATION SOCIETY'S SIDDHARTH COLLEGE OF LAW,16/06/1956,Ms. SANDHYA F. DOKHE,Principal(in-charge),Yes,"ANAND BHAVAN, 4th Floor, Dr. D.N. Road, Fort, Mumbai-400023",MAHARASHTRA,MUMBAI CITY,MUMBAI,400023,022-22823935,022-22823935,9920069472,siddharthlawprincipal@gmail.com,siddharthlawcollege1945@gmail.com,Dr. AJAY JANKAR IQAC / CIQA coordinator,"Anand Bhavan, 4th floor, Dr. D.N.Road, Fort, Mumbai-400023",MAHARASHTRA,400023,,022-22823935,9930480551,sandhyadokhe@gmail.com,ajayjankar@gmail.com,https://siddharthcollegeoflaw.com/,"Yes
Year1- 2021 Year2- 2022",Grant-in-aid,"Affiliated
(Law College)","Yes
18/06/1966
View Document","Yes
18/06/1966
View Document",No,No,No,Yes,Maharashtra,University of Mumbai,999,585,0,1584,15/06/2018,20/12/2023 ,,,,,MUMBAI,,,,,,,,,,
07/10/2021,C-61789,MHCOGN111046,Accreditation,Cycle1,LAXMINARAYAN INSTITUTE OF TECHNOLOGY,01/08/1942,Dr. RAJU B. MANKAR,Director,Yes,"Opposite Bharat Nagar, Amravati Road",MAHARASHTRA,NAGPUR,NAGPUR,440033,0712-2561107,0712-2561107,8788713619,director@litnagpur.in,rajumankar@gmail.com,Dr. PRATIBHA S. AGRAWAL IQAC / CIQA coordinator,"Opposite Bharat Nagar, Amravati Road",MAHARASHTRA,440033,0091-9763844660,0712-2447001,9763844660,iqac_director@litnagpur.in,pratibha3674@gmail.com,www.litnagpur.in,"Yes
Year1- 2020 Year2- 2021",Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
02/09/2005
View Document","Yes
02/09/2005
View Document",No,No,No,Yes,Maharashtra,"The Rashtrasant Tukadoji
Maharaj Nagpur University",488,257,0,745,21/11/2019,06/01/2021 ,,,,,NAGPUR,,,,,,,No,,,
17/05/2024,C-27086,TNCOGN116805,Accreditation,Cycle1,DMI ENGINEERING COLLEGE,01/01/2009,Dr. A.ALBERT RAJ,Principal,Yes,"Kumarapuram Road, Aralvaimozhi Kanyakumari Dist Pin 629301",TAMIL NADU,KANYAKUMARI,ARALVAIMOZHI,629301,4652-262744,-,9443450712,principal@dmiengg.edu.in,dmieckk@gmail.com,Mrs. D BETTEENA SHERYL FERNANDO IQAC / CIQA coordinator,"Kumarapuram Road, Aralvaimozhi, Kanyakumari District, Pin 629301.",TAMIL NADU,629301,4652-262744,-,9500966396,betteena@dmiengg.edu.in,betteenafernando@gmail.com,www.dmiengg.edu.in,"Yes
Year1- 2022 Year2- 2023",Private and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Tamil Nadu,Anna University,320,148,0,468,11/06/2018,02/02/2024 ,,,,,ARALVAIMOZHI,,,,,,,,,,
27/10/2023,C-29314,CHCOGN11596,Accreditation,Cycle3 Cycle Date Grade Score 1 16/09/2004 B+ 77.00 2 15/11/2015 A 3.04 3 16/05/2024 B+ 2.72,POST GRADUATE GOVT. COLLEGE,13/07/1982,Dr. ABHA SUDARSHAN,Principal,Yes,"Post Graduate Govt. College Sector-46, Chandigarh",CHANDIGARH,CHANDIGARH,CHANDIGARH,160047,0172-2678022,0172-2678022,9888611009,gc46chandigarh@gmail.com,abhalakhanpal@rediffmail.com,Dr. RAJINDER SINGH KOURA IQAC / CIQA coordinator,,CHANDIGARH,160047,0172-2678046,-,9872027275,kourachd@gmail.com,chdsks@yahoo.com,www.pggc46.ac.in,"Yes
Year1- 2022 Year2- 2023",Government,"Affiliated
(Affiliated/Constituent Colleges)","Yes
17/05/1993
View Document","Yes
16/09/1993
View Document",No,No,No,No,Chandigarh,Panjab University,1364,717,0,2081,20/03/2013,05/01/2023 ,,,,,CHANDIGARH,,,,,,,,,,
28/01/2021,C-48105,KLCOGN23990,Accreditation,Cycle2 Cycle Date Grade Score 1 11/07/2016 B 2.77 2 22/11/2021 B++ 2.9,BISHOP BENZIGER COLLEGE OF NURSING,01/01/2004,Dr. ANOOPA K R,Principal,Yes,"P.B No. 46, Sastri Junction, Kollam",KERALA,KOLLAM,KOLLAM,691001,0474-2765582,0474-2761801,8281302895,bbcon_official@yahoo.co.in,bbconnaac@gmail.com,Prof. ANNAL ANGELINE Professor,"P.B No. 46, Sastri Junction, Kollam",KERALA,691001,-,-,8156869689,annalangeline@gmail.com,bbconkollam@gmail.com,www.bbconkollam.org,"Yes
Year1- 2018 Year2- 2019",Private and Self Financing,"Affiliated
(Nursing college)",No,No,No,No,No,Yes,Kerala,"Kerala University of Health
Sciences",12,198,0,210,07/01/2015,03/02/2020 ,,,,,KOLLAM,,,,,,,,,,
18/03/2020,C-32901,UPCOGN21466,Accreditation,Cycle2 Cycle Date Grade Score 1 25/06/2015 B 2.92 2 23/02/2021 B+ 2.68,ARMY INSTITUTE OF MANAGEMENT AND TECHNOLOGY GREATER NOIDA,04/08/2004,Dr. VIVEK CHAWLA,Director,Yes,"Plot M-1, Pocket P-5, Gautam Buddh Nagar",UTTAR PRADESH,,GREATER NOIDA,201306,0120-2343501,0120-2343503,9999900423,naac@aimt.ac.in,director@aimt.ac.in,Prof. PAWAN KUMAR IQAC / CIQA coordinator,"Plot M-1, Pocket P-5, Gautam Buddh Nagar",UTTAR PRADESH,201306,0120-2343525,0120-2343512,9310717257,pawankumar@aimt.ac.in,registrar@aimt.ac.in,www.aimt.ac.in,"Yes
Year1- 2018 Year2- 2019",Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,Yes,Delhi,"Guru Gobind Singh
Indraprastha
Vishwavidyalaya",107,64,0,171,30/09/2015,09/01/2020 ,,,,,GREATER NOIDA,,,,,,,,,,
10/03/2023,C-45337,WBCOGN13962,Accreditation,Cycle2 Cycle Date Grade Score 1 31/12/2009 B 2.05 2 07/09/2023 B 2.02,KURSEONG COLLEGE,17/08/1967,Dr. SAMIR BAL,Principal,Yes,"KURSEONG COLLEGE, DOWHILL ROAD, KURSEONG",WEST BENGAL,DARJEELING,DARJEELING,734203,0354-6296258920,-,9434462377,kurseongcollege@yahoo.in,IQACKURSEONGCOLLEGE@GMAIL.COM,Dr. SRIJANA RAI IQAC / CIQA coordinator,"KURSEONG COLLEGE, DOWHILL ROAD, KURSEONG",WEST BENGAL,734203,-,-,9679803299,srijanarai2001@yahoo.com,kurseongcollegeiqac@gmail.com,www.kurseongcollege.net,"Yes
Year1- 2021 Year2- 2022",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
16/05/1980
View Document","Yes
11/03/2008
View Document",No,No,No,No,West Bengal,University of North Bengal,278,497,0,775,01/08/2011,18/01/2023 ,,,,,DARJEELING,,,,,,,,,,
01/08/2023,C-44125,MHCOTE23447,Accreditation,Cycle2 Cycle Date Grade Score 1 05/11/2016 B 2.02 2 14/03/2024 B 2.03,SWAYAM SIDDHI MITRA SANGH'S COLLEGE OF EDUCATION,01/01/2004,Dr. ARUNDHATI CHAVAN,Principal(in-charge),Yes,"Sonadevi Compound , Near Octroi Naka , Kalyan Bypass, Bhiwandi.",MAHARASHTRA,THANE,BHIWANDI,421302,02522-249191,-,8369464016,swayamsiddhimitrasangh@gmail.com,vishalshyam28.vs@gmail.com,Mr. VISHAL VIJAYKUMAR SONKAMBLE IQAC / CIQA coordinator,,MAHARASHTRA,421302,02522-8805249191,-,8087681373,Vishalshyam28.vs@gmail.com,arundhati435@gmail.com,www.assessmentonline.naac.gov.in,"Yes
Year1- 2020 Year2- 2021",Self Financing,"Affiliated
(Teacher Education Institutions)",No,No,No,No,No,Yes,Maharashtra,"Smt. Nathibai Damodar
Thackersey Women’s
University",0,100,0,100,15/06/2013,04/02/2018 ,,,,,BHIWANDI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maharashtra,"Yashwantrao Chavan
Maharashtra Open University",,,,,,,,,,,,,,,,,,,,,
24/06/2024,C-7990,KLCOGN117048,Accreditation,Cycle1,ST. GREGORIOS TEACHERS' TRAINING COLLEGE,01/01/2005,Dr. TOMY K O,Principal,Yes,"St. GREGORIOS TEACHER TRAINING COLLEGE, MEENANGADI WAYANAD KERALA 673591",KERALA,WAYANAD,MEENANGADI,673591,04936-247301,-,9495176206,gregoriosmgdi@gmail.com,bodhitom@gmail.com,Ms. SUJA JOHN IQAC / CIQA coordinator,"SUJA JOHN St. GREGORIOS TEACHER TRAINING COLLEGE, MEENANGADI WAYANAD KERALA 673591",KERALA,673591,,-,9497643843,sujajohn111@gmail.com,bedcollegemgdi@gmail.com,www.gregoriosmgdi.com,"Yes
Year1- 2023 Year2- 2024",Self Financing,"Affiliated
(Teacher Education Institutions)",No,No,No,No,No,Yes,Kerala,University Of Calicut,15,89,0,104,06/12/2016,27/02/2024 ,,,,,MEENANGADI,,,,,,,,,,
29/06/2024,C-30980,APCOGN116728,Accreditation,Cycle1,SRI VIJAYANAGAR COLLEGE OF LAW,01/06/1990,Dr. H RAGHAVENDRACHAR,Principal,Yes,"Housing Board Colony, Anantapuram, AP, Pin 515001",ANDHRA PRADESH,ANANTAPUR,ANANTAPUR,515001,08554-240024,08554-278915,9848963566,vjnl.naac@gmail.com,principallawcollege.atp@gmail.com,Mr. M MAHESH IQAC / CIQA coordinator,"Housing Board Colony, Anantapuram AP, Pin 515001",ANDHRA PRADESH,515001,08554-278645,08854-278645,9849667645,maheshmadakasira8@gmail.com,alururamireddy@gmail.com,www.vijayanagarlaw.edu.in,"Yes
Year1- 2022 Year2- 2023",Private,"Affiliated
(Law College)",No,No,No,No,No,Yes,"Andhra
Pradesh","Sri Krishnadevaraya
University",1920,378,0,2298,01/06/2022,29/12/2022 ,,,,,ANANTAPUR,,,,,,,,,,
02/05/2024,C-30963,APCOGN21233,Accreditation,Cycle2 Cycle Date Grade Score 1 01/05/2015 C 1.83 2 16/01/2025 B+ 2.57,K.H. GOVERNMENT DEGREE COLLEGE,01/01/1982,Dr. K.PRABHAKAR REDDY,Principal,Yes,"GUTTAKINDA PALLI, TARAKARAMAPURAM, DHARMAVARAM, SRI SATYA SAI (DIST)",ANDHRA PRADESH,ANANTAPUR,DHARMAVARAM,515672,08559-223074,08559-223075,9441177709,jkc.dharmavaram@gmail.com,prabhakarareddykogatam@gmail.com,Mr. A. KIRAN KUMAR IQAC / CIQA coordinator,"GUTTAKINDA PALLI, TARAKARAMAPURAM, DHARMAVARAM, SRI SATYA SAI (DIST)",ANDHRA PRADESH,515672,08559-223071,08559-223072,9290198899,aminenikirankumar@gmail.com,,www.khgdcdmm.ac.in,"Yes
Year1- 2022 Year2- 2023",Government,"Affiliated
(Affiliated/Constituent Colleges)","Yes
30/11/1991
View Document","Yes
03/08/1992
View Document",No,No,No,No,"Andhra
Pradesh","Sri Krishnadevaraya
University",91,50,0,141,24/08/2012,Not Found,,,,,DHARMAVARAM,,,,,,,,,,
30/03/2023,C-42222,MHCOGN10845,Accreditation,Cycle2 Cycle Date Grade Score 1 16/02/2004 C 58.50 2 28/03/2024 B 2.46,"MAHATMA GANDHI VIDHYAMADIR'S KARMVEER BHAUSAHEB HIRAY LAW COLLEGE, MALEGAON CAMP DIST. NASHIK, MAHARASHTRA",21/06/1971,Dr. VARDHAMAN VINAYAK AHIWALE,Principal(in-charge),Yes,Loknete Vyankatraoji Hiray Marg Malegaon Camp,MAHARASHTRA,NASHIK,MALEGAON,423105,02554-251855,02554-251855,9975950704,kbhlawcollege@gmail.com,vardhamanva@gmail.com,Mr. RAVI JANARDHAN BHOVATE,"Row House No. 03 Vasantkunj Society,
Opposite Daulati International School,
Shiv Road , Dabhadi, Malegaon",MAHARASHTRA,423201,02554-259911,02554-251855,9860053152,rk04law@gmail.com,dpckbhlaw@gmail.com,https://mgvkbhlaw.kbhgroup.in,"Yes
Year1- 2021 Year2- 2022",Grant-in-aid,"Affiliated
(Law UG College)","Yes
21/06/1971
View Document","Yes
21/06/1971
View Document",No,No,No,Yes,Maharashtra,"Savitribai Phule Pune
University",,,,,11/06/2004,07/01/2023 ,,,,,MALEGAON,,,,,,,,,,
17/01/2023,C-11944,WBCOGN13229,Accreditation,Cycle3 Cycle Date Grade Score 1 31/03/2007 B+ 75.55 2 16/09/2016 B+ 2.68 3 14/09/2023 A 3.03,NEW ALIPORE COLLEGE,05/08/1963,Dr. JAYDEEP SARANGI,Principal,Yes,"L-Block,Humayun Kabir Sarani, New Alipore",WEST BENGAL,KOLKATA,KOLKATA,700053,033-24071828,-,9432207607,principalnewaliporecollege@gmail.com,newaliporecollege@yahoo.co.in,Dr. DHRUBAJYOTI BANERJEE IQAC / CIQA coordinator,,WEST BENGAL,700053,033-9830081028,-,9830081028,iqacnewaliporecollege@gmail.com,teacherdhrubo@gmail.com,https://newaliporecollege.ac.in,"Yes
Year1- 2021 Year2- 2022",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
05/08/1963
View Document","Yes
05/08/1963
View Document",No,No,No,No,West Bengal,University of Calcutta,1607,1217,1,2825,28/07/2007,09/01/2023 ,,,,,KOLKATA,,,,,,,,,,
07/12/2017,C-42088,MHCOGN101080,Accreditation,Cycle1,SINHGAD TECHNICAL EDUCATION SOCIETY'S SINHGAD INSTITUTE OF BUSINESS ADMINISTRATION AND RESEARCH,11/05/2004,Dr.ARPITA GOPAL,Director,Yes,"S. No. 40/4A - 4B/1, Near PMC Octroi Post, Kondhwa-Saswad Road, Kondhwa(Bk), Pune - 411048",MAHARASHTRA,,PUNE,411048,020-26906171,020-26933633,8411887335,registrar_sibar@sinhgad.edu,arpita.gopal@sinhgad.edu,Dr.VIJAY DHOLE Associate Professor,"S. No.40/4A-4B/1, Near PMC Octroi Post, Kondhwa-Saswad Road, Kondhwa(Bk), Pune-411048",MAHARASHTRA,411048,020-26934443,020-26933635,9422020034,vijaydhole_sibar@sinhgad.edu,vijay_dhole2000@yahoo.com,www.sinhgad.edu,"Yes
Year1- 2016 Year2- 2017",Private and Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,Yes,Maharashtra,"Savitribai Phule Pune
University",696,293,,989,04/09/2017,20/01/2017 ,,,,,PUNE,,,,,,,,,,
25/06/2024,C-34422,MHCOGN102185,Accreditation,Cycle2 Cycle Date Grade Score 1 15/07/2019 B 2.36 2 02/01/2025 A 3.15,"MATSYODARI SHIKSHAN SANSTHA'S ARTS COLLEGE, TIRTHPURI",01/01/2000,Dr. RAJPUT BHAGWANSING MAHADUSING,Principal,Yes,"Near Ambad Road, At post. Tirthpuri Tq. Ghansawangi Dist. Jalna",MAHARASHTRA,JALNA,TIRTIPURI,431209,91750-7696791,-,7507696791,rajputbhagwansing24@gmail.com,mss_act@yahoo.in,Dr. JADHAV PRADIP VIJAY IQAC / CIQA coordinator,"At post Tirthpuri, tq. Ghansawangi,
Dist. Jalna",MAHARASHTRA,431209,91888-8352755,-,8888352755,jadhavma99@gmail.com,,www.mssact.co.in,"Yes
Year1- 2023 Year2- 2024",Government and Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
01/11/2010
View Document","Yes
01/11/2010
View Document",No,No,No,No,Maharashtra,"Dr. Babasaheb Ambedkar
Marathwada University",252,244,0,496,15/07/2012,06/02/2024 ,,,,,TIRTIPURI,,,,,,,,,,
04/12/2017,C-12306,UPCOGN13940,Accreditation,Cycle2 Cycle Date Grade Score 1 30/09/2009 B 2.37 2 26/09/2018 B 2.23,BRAHMANAND POST GRADUATE COLLEGE,15/07/1961,Dr.VIVEK KUMAR DWIVEDI,Principal(in-charge),Yes,"Brahmanand College, The Mall, Kanpur",UTTAR PRADESH,,KANPUR,208004,0512-2330413,512-2330413,9839636919,bndkanpur@gmail.com,iqacbnd@gmail.com,Dr.V.K. KATIYAR IQAC / CIQA coordinator,"Deptt. Of Physics, Brahmanand College, The Mall, Kanpur",UTTAR PRADESH,208004,0512-2333606,512-2333606,9450732170,vipitya@gmail.com,vipitya@yahoo.com,www.brahmanandcollege.org.in,"Yes
Year1- 2016 Year2- 2017",Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
15/07/1961
View Document","Yes
15/07/1961
View Document",No,No,No,No,Uttar pradesh,"Chatrapati Shahuji Maharaj
Kanpur University",1657,2218,,3875,30/06/2015,14/02/2017 ,,,,,KANPUR,,,,,,,,,,
23/05/2024,C-43818,KLCOGN116696,Accreditation,Cycle1,"MALABAR TRAINING COLLEGE, PERAVOOR, KANNUR",01/01/2005,Mrs. INDU K MATHEW,Principal,Yes,"MALABAR TRAINING COLLEGE THIRUVONAPURAM PERAVOOR, KANNUR, KERALA",KERALA,KANNUR,KANNUR,670673,04902-447170,-,8281474421,mcpperavoor@gmail.com,indukmatew@gmail.com,Mrs. PREETHA KURIAKOSE IQAC / CIQA coordinator,"MALABAR TRAINING COLLEGE THIRUVONAPURAM PERAVOOR, KANNUR, KERALA",KERALA,670673,,-,9495617699,preethakolayad@gmail.com,malabariqac2k23@gmail.com,www.malabarbedcollege.com,"Yes
Year1- 2022 Year2- 2023",Self Financing,"Affiliated
(Teacher Education Institutions)",No,No,No,No,No,Yes,Kerala,Kannur University,29,190,0,219,06/06/2016,28/02/2024 ,,,,,KANNUR,,,,,,,,,,
14/11/2017,C-851,GJCOGN100737,Accreditation,Cycle1,SHREE LEUVA PATEL TRUST B.B.A. MAHILA COLLEGE,04/06/2007,Ms.SWETA SAVALIYA,Principal,Yes,"Smt.Shantaben Haribhai Gajera Shaikshanik Sankul, Chakkargadh Road, Amreli",GUJARAT,,AMRELI,365601,02792-232321,02792-232327,9712962013,lptbba@sankul.net,swetapatel613@gmail.com,Dr.VIJAY PANSURIYA Associate Professor,"Smt. Shantaben Haribhai Gajera Shaikshanik Sankul, Chakkargadh Road, Amreli",GUJARAT,365601,02792-232323,-,,patel_v_jay@yahoo.com,academicdirector@sankul.net,www.sankul.net,"Yes
Year1- 2016 Year2- 2017",Self Financing,"Affiliated
(Affiliated UG College)",No,No,No,No,No,No,Gujarat,Saurashtra University,0,483,0,483,18/09/2017,13/01/2017 ,,,,,AMRELI,,,,,,,No,,,
15/10/2018,C-10166,KACOGN102142,Accreditation,Cycle1,"GOVERNMENT FIRST GRADE COLLEGE ,NAVANAGAR, BAGALKOT,KARNATAKA",14/06/2006,Dr. ARUNKUMAR GALI,Principal(in-charge),Yes,Government First Grade College Sector No.43 Navanagar Bagalkot,KARNATAKA,,BAGALKOT,587103,08354-236482,-,9738731675,gfgcbktnaac2018@gmail.com,arungali2000@gmail.com,Prof. S. K. DEMBARE Professor,Department of Mathematics GFGC Navanagar Bagalkot,KARNATAKA,587103,-,-,9449229664,skdembare@gmail.com,gfgcbkt@gmail.com,www.gfgc.kar.nic.in/bagalkote,"Yes
Year1- 2017 Year2- 2018",Government,"Affiliated
(Affiliated UG College)","Yes
30/03/2015
View Document",No,No,No,No,No,Karnataka,Rani Channamma University,502,314,0,816,05/03/2012,02/03/2018 ,,,,,BAGALKOT,,,,,,,,,,
